Character Name,Energy,Danceability,Valence,Tempo,Archetype
Character_130,0.68,0.57,0.8,99,The Dreamer
Character_131,0.63,0.75,0.78,118,The Dreamer
Character_132,0.52,0.51,0.79,85,The Star
Character_133,0.47,0.7,0.86,120,The Lover
Character_134,0.59,0.78,0.63,141,The Sage
Character_135,0.92,0.86,0.42,149,The Hero
Character_136,0.58,0.44,0.67,111,The Hero
Character_137,0.69,0.54,0.75,86,The Dreamer
Character_138,0.79,0.39,0.74,132,The Charmer
Character_139,0.6,0.9,0.61,114,The Warrior
Character_140,0.93,0.86,0.34,146,The Charmer
Character_141,0.93,0.62,0.52,76,The Dreamer
Character_142,0.54,0.81,0.85,96,The Charmer
Character_143,0.67,0.61,0.65,79,The Poet
Character_144,0.57,0.67,0.62,103,The Charmer
Character_145,0.56,0.35,0.46,105,The Star
Character_146,0.42,0.75,0.52,94,The Star
Character_147,0.74,0.38,0.84,75,The Warrior
Character_148,0.68,0.8,0.7,93,The Poet
Character_149,0.43,0.77,0.77,87,The Sage
Character_150,0.55,0.73,0.57,75,The Lover
Character_151,0.9,0.32,0.68,98,The Poet
Character_152,0.53,0.48,0.45,94,The Rebel
Character_153,0.48,0.46,0.72,124,The Mystic
Character_154,0.67,0.52,0.56,150,The Dreamer
Character_155,0.94,0.35,0.57,115,The Rebel
Character_156,0.53,0.86,0.69,93,The Warrior
Character_157,0.77,0.63,0.86,144,The Rebel
Character_158,0.82,0.48,0.34,95,The Star
Character_159,0.53,0.54,0.79,97,The Charmer
Character_160,0.8,0.57,0.48,72,The Lover
Character_161,0.6,0.66,0.57,144,The Hero
Character_162,0.75,0.61,0.31,107,The Dreamer
Character_163,0.75,0.85,0.48,130,The Hero
Character_164,0.69,0.6,0.6,147,The Charmer
Character_165,0.45,0.9,0.33,120,The Star
Character_166,0.86,0.81,0.59,117,The Star
Character_167,0.58,0.43,0.86,90,The Charmer
Character_168,0.5,0.86,0.36,123,The Dreamer
Character_169,0.42,0.37,0.76,125,The Hero
Character_170,0.72,0.79,0.55,128,The Poet
Character_171,0.77,0.53,0.69,141,The Star
Character_172,0.41,0.83,0.46,120,The Hero
Character_173,0.68,0.82,0.4,89,The Sage
Character_174,0.52,0.78,0.4,128,The Hero
Character_175,0.75,0.77,0.34,140,The Sage
Character_176,0.5,0.48,0.41,78,The Sage
Character_177,0.78,0.35,0.7,70,The Star
Character_178,0.61,0.54,0.83,98,The Dreamer
Character_179,0.92,0.4,0.79,132,The Warrior
Character_180,0.48,0.72,0.71,141,The Star
Character_181,0.59,0.51,0.37,125,The Dreamer
Character_182,0.46,0.89,0.47,137,The Dreamer
Character_183,0.91,0.68,0.49,104,The Rebel
Character_184,0.88,0.79,0.45,72,The Charmer
Character_185,0.54,0.38,0.61,76,The Charmer
Character_186,0.76,0.82,0.62,96,The Charmer
Character_187,0.85,0.85,0.51,70,The Mystic
Character_188,0.71,0.59,0.51,149,The Star
Character_189,0.69,0.66,0.8,140,The Dreamer
Character_190,0.53,0.76,0.77,113,The Rebel
Character_191,0.45,0.4,0.48,110,The Sage
Character_192,0.89,0.6,0.85,144,The Warrior
Character_193,0.9,0.54,0.87,111,The Warrior
Character_194,0.75,0.39,0.5,102,The Sage
Character_195,0.59,0.52,0.51,119,The Hero
Character_196,0.59,0.34,0.6,132,The Hero
Character_197,0.8,0.32,0.86,106,The Charmer
Character_198,0.89,0.38,0.83,128,The Star
Character_199,0.89,0.88,0.36,150,The Mystic
Character_200,0.83,0.63,0.54,117,The Rebel
Character_201,0.75,0.88,0.63,74,The Warrior
Character_202,0.45,0.56,0.6,117,The Charmer
Character_203,0.49,0.49,0.42,72,The Lover
Character_204,0.89,0.6,0.82,116,The Charmer
Character_205,0.73,0.56,0.71,131,The Lover
Character_206,0.41,0.36,0.8,83,The Poet
Character_207,0.46,0.68,0.82,132,The Dreamer
Character_208,0.76,0.43,0.75,130,The Sage
Character_209,0.4,0.67,0.56,100,The Dreamer
Character_210,0.49,0.69,0.67,86,The Charmer
Character_211,0.7,0.39,0.4,93,The Dreamer
Character_212,0.78,0.34,0.7,92,The Rebel
Character_213,0.76,0.77,0.41,119,The Poet
Character_214,0.52,0.58,0.72,147,The Mystic
Character_215,0.79,0.33,0.44,148,The Poet
Character_216,0.53,0.9,0.37,148,The Warrior
Character_217,0.58,0.33,0.4,139,The Rebel
Character_218,0.81,0.72,0.3,96,The Dreamer
Character_219,0.76,0.89,0.73,84,The Mystic
Character_220,0.87,0.44,0.74,119,The Dreamer
Character_221,0.76,0.39,0.61,105,The Star
Character_222,0.71,0.37,0.4,77,The Star
Character_223,0.45,0.48,0.35,148,The Hero
Character_224,0.6,0.36,0.31,72,The Poet
Character_225,0.55,0.72,0.4,131,The Mystic
Character_226,0.53,0.34,0.83,116,The Star
Character_227,0.94,0.61,0.44,146,The Hero
Character_228,0.62,0.9,0.51,130,The Rebel
Character_229,0.89,0.79,0.36,101,The Mystic
Character_230,0.75,0.67,0.43,82,The Hero
Character_231,0.84,0.48,0.61,70,The Sage
Character_232,0.68,0.67,0.66,103,The Mystic
Character_233,0.72,0.62,0.45,131,The Charmer
Character_234,0.67,0.56,0.33,148,The Hero
Character_235,0.51,0.38,0.53,147,The Dreamer
Character_236,0.8,0.83,0.44,140,The Charmer
Character_237,0.55,0.57,0.43,100,The Sage
Character_238,0.41,0.42,0.88,133,The Star
Character_239,0.76,0.52,0.67,94,The Lover
Character_240,0.5,0.55,0.63,107,The Hero
Character_241,0.92,0.8,0.55,83,The Rebel
Character_242,0.92,0.74,0.56,77,The Hero
Character_243,0.9,0.76,0.62,123,The Lover
Character_244,0.6,0.31,0.72,71,The Sage
Character_245,0.41,0.55,0.72,150,The Sage
Character_246,0.91,0.59,0.4,147,The Charmer
Character_247,0.64,0.31,0.6,125,The Mystic
Character_248,0.93,0.46,0.55,130,The Rebel
Character_249,0.93,0.76,0.82,91,The Charmer
Character_250,0.87,0.38,0.68,104,The Rebel
Character_251,0.56,0.62,0.62,85,The Rebel
Character_252,0.61,0.43,0.37,119,The Lover
Character_253,0.87,0.31,0.66,112,The Charmer
Character_254,0.57,0.44,0.37,86,The Rebel
Character_255,0.49,0.89,0.5,149,The Warrior
Character_256,0.71,0.78,0.39,127,The Lover
Character_257,0.91,0.88,0.72,71,The Sage
Character_258,0.78,0.59,0.42,73,The Lover
Character_259,0.71,0.37,0.54,108,The Dreamer
Character_260,0.45,0.63,0.84,75,The Dreamer
Character_261,0.74,0.57,0.42,150,The Rebel
Character_262,0.94,0.81,0.6,138,The Charmer
Character_263,0.48,0.36,0.55,138,The Sage
Character_264,0.69,0.59,0.31,89,The Lover
Character_265,0.88,0.39,0.78,133,The Charmer
Character_266,0.81,0.49,0.34,85,The Lover
Character_267,0.78,0.74,0.58,120,The Lover
Character_268,0.79,0.59,0.64,106,The Warrior
Character_269,0.6,0.53,0.68,142,The Dreamer
Character_270,0.56,0.54,0.71,138,The Lover
Character_271,0.85,0.58,0.45,111,The Warrior
Character_272,0.85,0.77,0.31,126,The Dreamer
Character_273,0.88,0.84,0.73,135,The Warrior
Character_274,0.9,0.87,0.62,78,The Charmer
Character_275,0.68,0.77,0.8,133,The Mystic
Character_276,0.68,0.49,0.79,91,The Dreamer
Character_277,0.84,0.71,0.81,103,The Star
Character_278,0.76,0.56,0.59,124,The Mystic
Character_279,0.79,0.45,0.5,98,The Charmer
Character_280,0.84,0.8,0.77,107,The Lover
Character_281,0.89,0.32,0.57,87,The Sage
Character_282,0.59,0.84,0.41,140,The Charmer
Character_283,0.61,0.58,0.81,134,The Warrior
Character_284,0.45,0.68,0.83,70,The Warrior
Character_285,0.72,0.7,0.58,73,The Warrior
Character_286,0.42,0.84,0.35,73,The Warrior
Character_287,0.66,0.68,0.53,96,The Charmer
Character_288,0.7,0.67,0.78,112,The Sage
Character_289,0.56,0.34,0.84,128,The Hero
Character_290,0.72,0.61,0.42,101,The Warrior
Character_291,0.42,0.39,0.34,102,The Hero
Character_292,0.42,0.74,0.83,97,The Sage
Character_293,0.85,0.61,0.53,124,The Sage
Character_294,0.6,0.71,0.63,129,The Mystic
Character_295,0.47,0.33,0.88,139,The Dreamer
Character_296,0.69,0.35,0.34,131,The Star
Character_297,0.82,0.73,0.69,149,The Rebel
Character_298,0.52,0.34,0.34,103,The Star
Character_299,0.74,0.34,0.53,125,The Charmer
Character_300,0.45,0.31,0.78,82,The Rebel
Character_301,0.43,0.87,0.56,125,The Sage
Character_302,0.69,0.74,0.9,87,The Star
Character_303,0.7,0.51,0.64,123,The Poet
Character_304,0.75,0.48,0.49,146,The Dreamer
Character_305,0.8,0.51,0.43,112,The Star
Character_306,0.94,0.76,0.51,108,The Dreamer
Character_307,0.68,0.7,0.52,130,The Hero
Character_308,0.58,0.41,0.34,111,The Charmer
Character_309,0.84,0.4,0.52,150,The Dreamer
Character_310,0.55,0.36,0.58,148,The Hero
Character_311,0.64,0.7,0.73,87,The Warrior
Character_312,0.44,0.76,0.69,92,The Hero
Character_313,0.41,0.46,0.73,123,The Charmer
Character_314,0.93,0.31,0.31,99,The Mystic
Character_315,0.86,0.35,0.43,127,The Warrior
Character_316,0.78,0.88,0.7,137,The Sage
Character_317,0.62,0.48,0.59,136,The Lover
Character_318,0.5,0.76,0.3,140,The Hero
Character_319,0.49,0.67,0.78,87,The Hero
Character_320,0.54,0.53,0.76,76,The Dreamer
Character_321,0.7,0.42,0.63,109,The Sage
Character_322,0.79,0.37,0.34,139,The Star
Character_323,0.76,0.67,0.76,134,The Poet
Character_324,0.55,0.76,0.65,137,The Rebel
Character_325,0.93,0.69,0.77,118,The Hero
Character_326,0.81,0.62,0.75,121,The Star
Character_327,0.7,0.33,0.78,98,The Poet
Character_328,0.74,0.88,0.61,90,The Rebel
Character_329,0.63,0.78,0.38,147,The Lover
Character_330,0.54,0.48,0.7,78,The Dreamer
Character_331,0.6,0.89,0.67,116,The Star
Character_332,0.82,0.66,0.75,145,The Dreamer
Character_333,0.41,0.65,0.4,111,The Rebel
Character_334,0.46,0.75,0.42,120,The Mystic
Character_335,0.43,0.79,0.83,125,The Hero
Character_336,0.42,0.69,0.75,120,The Warrior
Character_337,0.87,0.38,0.84,139,The Poet
Character_338,0.79,0.5,0.76,89,The Sage
Character_339,0.66,0.86,0.66,96,The Charmer
Character_340,0.45,0.43,0.69,107,The Hero
Character_341,0.67,0.52,0.83,141,The Warrior
Character_342,0.66,0.56,0.65,134,The Charmer
Character_343,0.5,0.56,0.68,123,The Star
Character_344,0.64,0.67,0.39,93,The Charmer
Character_345,0.62,0.87,0.58,116,The Lover
Character_346,0.74,0.44,0.73,140,The Hero
Character_347,0.75,0.37,0.46,132,The Dreamer
Character_348,0.42,0.42,0.42,126,The Mystic
Character_349,0.61,0.83,0.49,124,The Sage
Character_350,0.74,0.69,0.44,129,The Dreamer
Character_351,0.68,0.47,0.43,131,The Warrior
Character_352,0.87,0.79,0.55,99,The Hero
Character_353,0.76,0.82,0.84,91,The Mystic
Character_354,0.49,0.81,0.6,144,The Charmer
Character_355,0.44,0.85,0.41,98,The Hero
Character_356,0.75,0.45,0.35,110,The Charmer
Character_357,0.41,0.75,0.72,111,The Star
Character_358,0.72,0.58,0.53,134,The Lover
Character_359,0.92,0.81,0.79,100,The Rebel
Character_360,0.72,0.74,0.7,99,The Hero
Character_361,0.61,0.77,0.78,87,The Warrior
Character_362,0.75,0.69,0.46,86,The Charmer
Character_363,0.65,0.41,0.72,107,The Dreamer
Character_364,0.7,0.63,0.46,83,The Star
Character_365,0.92,0.89,0.86,148,The Warrior
Character_366,0.61,0.86,0.68,125,The Sage
Character_367,0.93,0.33,0.49,91,The Rebel
Character_368,0.9,0.4,0.46,136,The Star
Character_369,0.51,0.38,0.41,125,The Lover
Character_370,0.44,0.74,0.72,88,The Rebel
Character_371,0.46,0.79,0.43,126,The Charmer
Character_372,0.41,0.43,0.66,113,The Warrior
Character_373,0.45,0.6,0.46,104,The Sage
Character_374,0.78,0.8,0.7,70,The Poet
Character_375,0.44,0.74,0.79,121,The Lover
Character_376,0.58,0.63,0.77,139,The Mystic
Character_377,0.86,0.65,0.76,106,The Charmer
Character_378,0.41,0.61,0.41,134,The Poet
Character_379,0.85,0.48,0.35,120,The Hero
Character_380,0.56,0.64,0.72,70,The Sage
Character_381,0.46,0.71,0.52,90,The Dreamer
Character_382,0.78,0.82,0.56,122,The Mystic
Character_383,0.75,0.68,0.32,85,The Warrior
Character_384,0.88,0.76,0.46,130,The Sage
Character_385,0.8,0.4,0.32,123,The Rebel
Character_386,0.84,0.58,0.83,109,The Star
Character_387,0.56,0.31,0.45,95,The Rebel
Character_388,0.5,0.45,0.63,149,The Rebel
Character_389,0.81,0.74,0.32,134,The Hero
Character_390,0.84,0.9,0.7,143,The Lover
Character_391,0.94,0.36,0.49,133,The Dreamer
Character_392,0.63,0.54,0.84,112,The Mystic
Character_393,0.6,0.78,0.83,86,The Lover
Character_394,0.83,0.42,0.5,128,The Sage
Character_395,0.59,0.63,0.84,92,The Rebel
Character_396,0.91,0.74,0.9,76,The Hero
Character_397,0.87,0.67,0.8,113,The Sage
Character_398,0.64,0.41,0.81,122,The Star
Character_399,0.81,0.51,0.45,140,The Dreamer
Character_400,0.81,0.77,0.65,148,The Mystic
Character_401,0.46,0.63,0.34,103,The Star
Character_402,0.9,0.3,0.36,115,The Hero
Character_403,0.68,0.76,0.9,137,The Dreamer
Character_404,0.85,0.32,0.5,147,The Sage
Character_405,0.58,0.75,0.75,147,The Rebel
Character_406,0.89,0.42,0.78,85,The Rebel
Character_407,0.61,0.87,0.81,140,The Charmer
Character_408,0.41,0.52,0.9,88,The Rebel
Character_409,0.9,0.5,0.44,71,The Poet
Character_410,0.45,0.39,0.32,79,The Rebel
Character_411,0.58,0.48,0.55,119,The Poet
Character_412,0.92,0.83,0.38,150,The Warrior
Character_413,0.92,0.9,0.31,81,The Poet
Character_414,0.72,0.52,0.52,139,The Dreamer
Character_415,0.75,0.57,0.77,91,The Star
Character_416,0.65,0.73,0.64,101,The Dreamer
Character_417,0.56,0.83,0.49,70,The Star
Character_418,0.58,0.66,0.69,123,The Charmer
Character_419,0.77,0.53,0.44,127,The Warrior
Character_420,0.81,0.55,0.31,139,The Star
Character_421,0.84,0.72,0.76,87,The Star
Character_422,0.83,0.3,0.67,75,The Hero
Character_423,0.45,0.67,0.76,114,The Lover
Character_424,0.67,0.51,0.32,92,The Lover
Character_425,0.43,0.78,0.8,92,The Hero
Character_426,0.7,0.36,0.67,95,The Rebel
Character_427,0.64,0.65,0.64,146,The Hero
Character_428,0.89,0.59,0.67,76,The Star
Character_429,0.59,0.69,0.82,148,The Star
Character_430,0.46,0.34,0.65,113,The Hero
Character_431,0.48,0.65,0.65,96,The Hero
Character_432,0.82,0.64,0.89,95,The Rebel
Character_433,0.74,0.64,0.75,148,The Dreamer
Character_434,0.46,0.66,0.57,105,The Warrior
Character_435,0.45,0.71,0.72,124,The Sage
Character_436,0.79,0.78,0.53,133,The Star
Character_437,0.44,0.46,0.44,126,The Warrior
Character_438,0.85,0.8,0.66,138,The Hero
Character_439,0.79,0.6,0.86,130,The Rebel
Character_440,0.44,0.35,0.86,71,The Poet
Character_441,0.45,0.34,0.51,124,The Rebel
Character_442,0.94,0.5,0.62,149,The Mystic
Character_443,0.61,0.77,0.43,107,The Mystic
Character_444,0.6,0.72,0.9,149,The Warrior
Character_445,0.85,0.77,0.89,147,The Lover
Character_446,0.92,0.61,0.69,98,The Mystic
Character_447,0.94,0.56,0.78,95,The Mystic
Character_448,0.81,0.39,0.73,104,The Dreamer
Character_449,0.61,0.5,0.66,148,The Poet
Character_450,0.45,0.56,0.33,136,The Dreamer
Character_451,0.83,0.35,0.57,98,The Poet
Character_452,0.71,0.43,0.7,103,The Charmer
Character_453,0.63,0.66,0.71,110,The Sage
Character_454,0.9,0.74,0.52,110,The Star
Character_455,0.46,0.9,0.87,92,The Mystic
Character_456,0.67,0.86,0.4,140,The Star
Character_457,0.41,0.69,0.6,72,The Mystic
Character_458,0.66,0.55,0.71,127,The Dreamer
Character_459,0.43,0.68,0.72,101,The Sage
Character_460,0.47,0.77,0.69,100,The Dreamer
Character_461,0.46,0.37,0.47,112,The Dreamer
Character_462,0.76,0.55,0.39,76,The Poet
Character_463,0.81,0.8,0.68,70,The Lover
Character_464,0.72,0.53,0.66,130,The Rebel
Character_465,0.93,0.64,0.41,83,The Warrior
Character_466,0.61,0.65,0.72,121,The Star
Character_467,0.56,0.41,0.57,75,The Charmer
Character_468,0.88,0.52,0.7,79,The Mystic
Character_469,0.52,0.5,0.8,140,The Dreamer
Character_470,0.93,0.32,0.4,99,The Lover
Character_471,0.41,0.31,0.31,90,The Dreamer
Character_472,0.93,0.8,0.77,129,The Sage
Character_473,0.42,0.46,0.67,150,The Poet
Character_474,0.89,0.61,0.72,143,The Charmer
Character_475,0.69,0.48,0.8,132,The Rebel
Character_476,0.95,0.86,0.78,111,The Sage
Character_477,0.44,0.46,0.88,120,The Hero
Character_478,0.7,0.56,0.62,133,The Charmer
Character_479,0.93,0.82,0.59,145,The Dreamer
Character_480,0.69,0.81,0.54,125,The Sage
Character_481,0.75,0.41,0.39,149,The Rebel
Character_482,0.78,0.78,0.64,110,The Lover
Character_483,0.65,0.57,0.47,101,The Lover
Character_484,0.75,0.59,0.85,84,The Star
Character_485,0.72,0.38,0.65,131,The Rebel
Character_486,0.9,0.35,0.66,96,The Lover
Character_487,0.42,0.74,0.51,97,The Sage
Character_488,0.55,0.6,0.33,150,The Star
Character_489,0.92,0.56,0.32,133,The Lover
Character_490,0.89,0.74,0.55,128,The Charmer
Character_491,0.65,0.76,0.35,127,The Poet
Character_492,0.74,0.4,0.66,71,The Hero
Character_493,0.55,0.67,0.83,105,The Rebel
Character_494,0.5,0.38,0.83,140,The Sage
Character_495,0.66,0.75,0.7,82,The Mystic
Character_496,0.59,0.69,0.43,84,The Dreamer
Character_497,0.72,0.87,0.82,129,The Sage
Character_498,0.44,0.34,0.83,91,The Lover
Character_499,0.94,0.33,0.42,132,The Sage
Character_500,0.94,0.47,0.74,144,The Mystic
Character_501,0.78,0.46,0.47,143,The Dreamer
Character_502,0.69,0.45,0.78,94,The Star
Character_503,0.57,0.84,0.9,117,The Lover
Character_504,0.85,0.45,0.32,112,The Warrior
Character_505,0.78,0.46,0.84,107,The Lover
Character_506,0.49,0.76,0.67,110,The Hero
Character_507,0.9,0.57,0.88,114,The Warrior
Character_508,0.85,0.77,0.58,109,The Hero
Character_509,0.92,0.34,0.81,86,The Mystic
Character_510,0.8,0.59,0.34,126,The Rebel
Character_511,0.74,0.32,0.5,71,The Dreamer
Character_512,0.63,0.34,0.34,131,The Poet
Character_513,0.91,0.84,0.89,78,The Star
Character_514,0.88,0.38,0.79,137,The Poet
Character_515,0.42,0.62,0.81,150,The Charmer
Character_516,0.41,0.55,0.86,86,The Charmer
Character_517,0.61,0.51,0.35,119,The Mystic
Character_518,0.85,0.84,0.53,109,The Rebel
Character_519,0.94,0.31,0.34,127,The Charmer
Character_520,0.48,0.7,0.43,144,The Lover
Character_521,0.73,0.88,0.44,90,The Sage
Character_522,0.61,0.64,0.58,87,The Hero
Character_523,0.93,0.86,0.46,124,The Charmer
Character_524,0.86,0.33,0.36,98,The Mystic
Character_525,0.86,0.55,0.4,93,The Hero
Character_526,0.66,0.46,0.39,143,The Lover
Character_527,0.63,0.74,0.88,86,The Rebel
Character_528,0.55,0.89,0.76,87,The Dreamer
Character_529,0.43,0.45,0.88,111,The Poet
Character_530,0.88,0.69,0.56,114,The Lover
Character_531,0.85,0.42,0.47,86,The Star
Character_532,0.95,0.64,0.78,142,The Warrior
Character_533,0.95,0.58,0.5,83,The Mystic
Character_534,0.71,0.88,0.48,118,The Poet
Character_535,0.82,0.67,0.44,98,The Star
Character_536,0.92,0.51,0.38,73,The Dreamer
Character_537,0.87,0.37,0.45,89,The Star
Character_538,0.54,0.39,0.51,116,The Rebel
Character_539,0.65,0.44,0.7,78,The Warrior
Character_540,0.47,0.45,0.34,146,The Hero
Character_541,0.92,0.81,0.43,148,The Poet
Character_542,0.73,0.64,0.79,96,The Warrior
Character_543,0.53,0.61,0.39,84,The Sage
Character_544,0.77,0.37,0.51,88,The Lover
Character_545,0.74,0.82,0.82,121,The Sage
Character_546,0.6,0.73,0.39,95,The Lover
Character_547,0.46,0.34,0.35,95,The Rebel
Character_548,0.77,0.72,0.59,95,The Warrior
Character_549,0.69,0.63,0.48,115,The Dreamer
Character_550,0.82,0.35,0.64,118,The Charmer
Character_551,0.69,0.57,0.78,122,The Star
Character_552,0.87,0.59,0.38,72,The Charmer
Character_553,0.7,0.4,0.65,135,The Warrior
Character_554,0.71,0.87,0.6,111,The Sage
Character_555,0.88,0.81,0.39,88,The Charmer
Character_556,0.62,0.7,0.67,86,The Mystic
Character_557,0.47,0.58,0.46,102,The Charmer
Character_558,0.42,0.55,0.59,145,The Lover
Character_559,0.82,0.69,0.35,118,The Mystic
Character_560,0.74,0.63,0.58,125,The Poet
Character_561,0.79,0.34,0.48,132,The Charmer
Character_562,0.52,0.61,0.79,72,The Mystic
Character_563,0.48,0.78,0.33,118,The Warrior
Character_564,0.41,0.58,0.55,124,The Star
Character_565,0.59,0.33,0.58,95,The Poet
Character_566,0.72,0.77,0.74,141,The Dreamer
Character_567,0.62,0.42,0.64,121,The Dreamer
Character_568,0.64,0.46,0.7,76,The Rebel
